Drug1,Drug1 Description,Drug2,Drug2 Description,Interaction Risk (1-10)
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",7
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",3
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",5
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",1
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",3
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",7
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",10
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",4
Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",8
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",3
Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",10
Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",Gabapentin,"Used for nerve pain and seizures. Symptoms: drowsiness, dizziness, swelling.",7
Morphine,"Opioid pain reliever. Symptoms: drowsiness, respiratory depression, nausea.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",10
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",8
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",2
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Furosemide,"Diuretic for fluid retention. Symptoms: dehydration, electrolyte imbalance, dizziness.",4
Amlodipine,"Calcium channel blocker for high blood pressure. Symptoms: swelling, dizziness, fatigue.",Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",7
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",1
Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",Omeprazole,"Proton pump inhibitor for acid reflux. Symptoms: headache, diarrhea, vitamin B12 deficiency risk.",5
Warfarin,"Anticoagulant used to prevent blood clots. Symptoms: increased bleeding risk, bruising, dizziness.",Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",7
Aspirin,"Pain reliever and blood thinner. Symptoms: stomach irritation, bleeding risk, nausea.",Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",7
Alprazolam,"Benzodiazepine for anxiety. Symptoms: drowsiness, confusion, risk of dependence.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",8
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",3
Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",Sertraline,"SSRI antidepressant. Symptoms: nausea, dizziness, insomnia, dry mouth.",7
Clopidogrel,"Blood thinner for stroke prevention. Symptoms: bleeding risk, bruising, stomach pain.",Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",2
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Digoxin,"Heart medication for atrial fibrillation. Symptoms: nausea, dizziness, irregular heartbeat.",5
Atorvastatin,"Cholesterol-lowering statin. Symptoms: muscle pain, liver enzyme elevation, nausea.",Prednisone,"Steroid for inflammation. Symptoms: weight gain, high blood sugar, osteoporosis risk.",10
Levothyroxine,"Thyroid hormone replacement. Symptoms: heart palpitations, weight changes, anxiety.",Hydrochlorothiazide,"Diuretic for blood pressure and fluid retention. Symptoms: dehydration, dizziness, electrolyte imbalance.",7
Metformin,"Used to manage type 2 diabetes. Symptoms: nausea, diarrhea, low blood sugar risk.",Lisinopril,"ACE inhibitor for high blood pressure. Symptoms: dizziness, cough, increased potassium levels.",8
